Account,LEI,MemberID,Member Mnemonic,Firmcode,Market Source,Settles In,Settlement Code,Settlement Type,Settlement Provider,Market Making,TradingNotesMember
ABN AMRO CLEARING BANK N.V.,G8ZTNESVNKW4NN761W05,ICSAGB21,ICSA,824,Off Book trading,CREST,824,Self-Settlement,ABN AMRO CLEARING BANK N.V.,False,
ABN AMRO CLEARING BANK N.V.,G8ZTNESVNKW4NN761W05,ICSRGB21,ICSR,573,Exchange Traded Funds – Euroclear Bank Settlement,Euroclear Bank,14448,Self-Settlement,ABN AMRO CLEARING BANK N.V.,False,
ABN AMRO CLEARING BANK N.V.,G8ZTNESVNKW4NN761W05,ICSRGB21,ICSR,573,International Order Book,Euroclear Bank,14448,Self-Settlement,ABN AMRO CLEARING BANK N.V.,False,
ABN AMRO CLEARING BANK N.V.,G8ZTNESVNKW4NN761W05,ICSRGB21,ICSR,573,SETS Order Book,CREST,573,Self-Settlement,ABN AMRO CLEARING BANK N.V.,False,
ABN AMRO CLEARING BANK N.V.,G8ZTNESVNKW4NN761W05,ICSRGB21,ICSR,573,Off Book trading,Euroclear Bank,14448,Self-Settlement,ABN AMRO CLEARING BANK N.V.,False,
ABN AMRO CLEARING BANK N.V.,G8ZTNESVNKW4NN761W05,ICSRGB21,ICSR,573,Off Book trading,CREST,573,Self-Settlement,ABN AMRO CLEARING BANK N.V.,False,
ABN AMRO CLEARING BANK N.V.,G8ZTNESVNKW4NN761W05,ICSRGB22,ICSS,573,SETS Order Book,CREST,585A,Self-Settlement,ABN AMRO CLEARING BANK N.V.,False,
ABN AMRO CLEARING BANK N.V.,G8ZTNESVNKW4NN761W05,ICSRGB22,ICSS,573,Off Book trading,CREST,585A,Self-Settlement,ABN AMRO CLEARING BANK N.V.,False,
ABN AMRO CLEARING BANK N.V.,G8ZTNESVNKW4NN761W05,PIERGB21,PIER,585,Off Book trading,CREST,585,Self-Settlement,ABN AMRO CLEARING BANK N.V.,False,
ACG Advisors (UK) LLP,2138004A38ZO2DEMSU28,ACVPGB21,ACVP,697,Off Book trading,CREST,4KUAA,Self-Settlement,ACG Advisors (UK) LLP,False,
ACG Advisors (UK) LLP,2138004A38ZO2DEMSU28,ACVPGB21,ACVP,697,Off Book trading,CREST,KBUAG,Settlement-Agent,Global Prime Partners Ltd,False,
ADM Investor Services International Limited,213800GNABQM2M887812,AISIGB21,ADMI,245,Off Book trading,Euroclear Bank,10123,Self-Settlement,ADM Investor Services International Limited,False,
ADM Investor Services International Limited,213800GNABQM2M887812,AISIGB21,ADMI,245,Off Book trading,CREST,245,Self-Settlement,ADM Investor Services International Limited,False,
ADM Investor Services International Limited,213800GNABQM2M887812,AISIGB21001,ADML,245,Off Book trading,CREST,245,Self-Settlement,ADM Investor Services International Limited,False,
A J Bell Securities Limited,213800Y4I7TN34WUBD71,LAWHGB21,LASL,446,Off Book trading,CREST,446,Self-Settlement,A J Bell Securities Limited,False,
Algorithmic Trading Group Netherlands Management B.V.,724500T1N36N5U22MB23,ATGNNL21,ATGN,860,Exchange Traded Funds – Euroclear Bank Settlement,Euroclear Bank,14448,Model-B,ABN AMRO CLEARING BANK N.V.,False,
Algorithmic Trading Group Netherlands Management B.V.,724500T1N36N5U22MB23,ATGNNL21,ATGN,860,International Order Book,Euroclear Bank,14448,Model-B,ABN AMRO CLEARING BANK N.V.,False,
Algorithmic Trading Group Netherlands Management B.V.,724500T1N36N5U22MB23,ATGNNL21,ATGN,860,SETS Order Book,CREST,573,Model-B,ABN AMRO CLEARING BANK N.V.,False,
Algorithmic Trading Group Netherlands Management B.V.,724500T1N36N5U22MB23,ATGNNL21,ATGN,860,Off Book trading,Euroclear Bank,14448,Model-B,ABN AMRO CLEARING BANK N.V.,False,
Algorithmic Trading Group Netherlands Management B.V.,724500T1N36N5U22MB23,ATGNNL21,ATGN,860,Off Book trading,CREST,573,Model-B,ABN AMRO CLEARING BANK N.V.,False,
Allia C&C Limited,2138005IBYJDKUZMN564,ALLIACC0001,ALIA,1,Off Book trading,CREST,601,Model-B,Pershing Securities Limited,False,
Arbuthnot Latham & Co. Limited,21380038NTY1PVJ3IY34,ARBUGB2L,ARBU,664,Off Book trading,CREST,CHKAV,Self-Settlement,Arbuthnot Latham & Co. Limited,False,
Armira Capital Limited,213800JH88W6JWSEJF05,ARLPGB21,ARCL,295,Off Book trading,DTCC,443,Model-B,Pershing Securities Limited,False,
Armira Capital Limited,213800JH88W6JWSEJF05,ARLPGB21,ARCL,295,Off Book trading,CREST,601,Model-B,Pershing Securities Limited,False,
Armira Capital Limited,213800JH88W6JWSEJF05,ARLPGB21,ARCL,295,Off Book trading,Euroclear Bank,75663,Model-B,Pershing Securities Limited,False,
Arnold Stansby & Co Limited,213800Q66D4FUSHCJA76,ARNTGB21,ASBY,19,Order Book for Retail Bonds,CREST,019,Self-Settlement,Arnold Stansby & Co Limited,False,
Arnold Stansby & Co Limited,213800Q66D4FUSHCJA76,ARNTGB21,ASBY,19,Off Book trading,CREST,019,Self-Settlement,Arnold Stansby & Co Limited,False,
Aurel BGC,5RJTDGZG4559ESIYLD31,AULSFRP1,AULS,512,Off Book trading,Euroclear Bank,22535,Settlement-Agent,Parel SA,False,
Aurel BGC,5RJTDGZG4559ESIYLD31,AULSFRP1,AULS,512,Off Book trading,CREST,KCUAA,Settlement-Agent,Parel SA,False,
Avior Capital Markets International Limited,213800N25VHLSIV47443,ACMIGB21,ACMI,397,Off Book trading,CREST,19801,Settlement-Agent,Linear Investments Limited,False,
Avior Capital Markets International Limited,213800N25VHLSIV47443,ACMIGB21,ACMI,397,Off Book trading,CREST,601,Settlement-Agent,Cowen International Limited,False,
Avior Capital Markets International Limited,213800N25VHLSIV47443,ACMIGB21,ACMI,397,Off Book trading,CREST,7SQAN,Self-Settlement,Avior Capital Markets International Limited,False,
Axis Capital Markets Limited,2138001UYFF4L8FOMN55,AXCAP247,AXCA,542,Off Book trading,CREST,BH01,Settlement-Agent,ABN AMRO CLEARING BANK N.V.,False,
Axis Capital Markets Limited,2138001UYFF4L8FOMN55,AXCKGB22,AXIS,542,Off Book trading,DTCC,2648,Settlement-Agent,Global Prime Partners Ltd,False,
Axis Capital Markets Limited,2138001UYFF4L8FOMN55,AXCKGB22,AXIS,542,Off Book trading,Euroclear Bank,44382,Settlement-Agent,Global Prime Partners Ltd,False,
Axis Capital Markets Limited,2138001UYFF4L8FOMN55,AXCKGB22,AXIS,542,Off Book trading,CREST,KBUAG,Settlement-Agent,Global Prime Partners Ltd,False,
Baader Bank AG,529900JFOPPEDUR61H13,BDWBDEMMABN,BATF,135,Exchange Traded Funds – Euroclear Bank Settlement,Euroclear Bank,14448,Model-B,ABN AMRO CLEARING BANK N.V.,Yes,
Baader Bank AG,529900JFOPPEDUR61H13,BDWBDEMMABN,BATF,135,SETS Order Book,CREST,573,Model-B,ABN AMRO CLEARING BANK N.V.,Yes,
Baader Bank AG,529900JFOPPEDUR61H13,BDWBDEMMABN,BATF,135,Off Book trading,CREST,573,Model-B,ABN AMRO CLEARING BANK N.V.,Yes,
Baader Bank AG,529900JFOPPEDUR61H13,BDWBDEMMXXX,BAAD,135,Exchange Traded Funds – Euroclear Bank Settlement,Euroclear Bank,95383,Settlement-Agent,Caceis Bank SA,False,
Baader Bank AG,529900JFOPPEDUR61H13,BDWBDEMMXXX,BAAD,135,International Order Book,Euroclear Bank,95383,Settlement-Agent,Caceis Bank SA,False,
Baader Bank AG,529900JFOPPEDUR61H13,BDWBDEMMXXX,BAAD,135,SETS Order Book,CREST,BOMAY,Settlement-Agent,Citibank N.A.,False,
Baader Bank AG,529900JFOPPEDUR61H13,BDWBDEMMXXX,BAAD,135,Off Book trading,Euroclear Bank,95383,Settlement-Agent,CACEIS Bank Deutschland GmbH,False,
Baader Bank AG,529900JFOPPEDUR61H13,BDWBDEMMXXX,BAAD,135,Off Book trading,CREST,BOMAY,Settlement-Agent,CACEIS Bank Deutschland GmbH,False,
Banco Santander S.A. London Branch,5493006QMFDDMYWIAM13,BSCHGB2L,BSCH,408,Off Book trading,CREST,NBUAG,Self-Settlement,Banco Santander S.A. London Branch,False,
Bank of Montreal London Branch,NQQ6HPCNCCU6TUTQYE16,BOFMGB2XXXX,BOFM,719,Off Book trading,CREST,OBUAK,Self-Settlement,Bank of Montreal London Branch,False,
Bank of Nova Scotia (London Branch),L3I9ZG2KFGXZ61BMYR72,NOSCGB22,BNSL,43,SETS Order Book,CREST,2FQAQ,Settlement-Agent,BNP Paribas SA,False,
Bank of Nova Scotia (London Branch),L3I9ZG2KFGXZ61BMYR72,NOSCGB22,BNSL,43,Off Book trading,CREST,2FQAQ,Settlement-Agent,BNP Paribas SA,False,
