Euroclear Number,E/C Participant,Country Code,Clearstream Number,Local Acct,External Instr.,Participant Name
10008,P,120,,,N,"BCP/EURONEXT,PORTO   "
10014,P,660,,,N,"BCO BRADESCO,GC  "
10018,P,20,,,N,"BP2S/LDN ABERDEEN INV FD,PAR "
10029,P,70,,,N,"BCA PROFILO,MILAN    "
10034,P,110,,,N,"CIBC WORLD MKTS,TOR  "
10041,P,975,,,N,"DEUTSCHE BK AG/A/C DCS,SGP   "
10042,P,120,,,N,"CGD/OWN ACCOUNT,LIS  "
10043,P,120,,,N,"CGD/CLIENTS ACCOUNT,LIS  "
10044,P,30,,,N,"JPMC ITS/ING BK NV,LDN   "
10045,P,190,,,N,"GBS/NOM CLIENT ASSET ACC,DUB "
10047,P,180,,,N,"DENIZBANK/DENIZBANK AG,IST   "
10056,P,190,,,N,"CITI FD SVCS/PUTNAM N F,DUB  "
10065,P,840,,,N,"GCSC/GC SECS (HK)-CL,TAIPEI  "
10069,P,150,,,N,"SMBC NIKKO BK (LUX)SA,LUX    "
10070,P,150,,,N,"UNION BCAIRE PR,LUX  "
10071,P,150,,,N,"HSBC SECS SVC/ITALIAN TAX,LUX    "
10074,P,30,,,N,"MSIP/RE-USE//RUA,LDN "
10079,P,30,,,N,"JPMC IS/BALOISE ANLAG PER,LDN    "
10092,P,461,,,N,"SG HAMBROS BK (CI)/FUND2,STH "
10095,P,150,,,N,"PICTET EUR/UK,LUX    "
10096,P,30,,,N,"UBS AG/IPB US CLIENT,LDN "
10102,P,900,,,N,"BQUE POP COTE D'AZUR,MONACO  "
10108,P,20,,,N,"BP2S/LDN MASHREQ BK,PAR  "
10123,P,30,,,N,"ADM INV SVC INTL,LDN "
10130,P,190,,,N,"GBS/TRADING CL ASSET ACC,DUB "
10141,P,975,,,N,"PT BK NEGARA INDONESIA (P),SGP   "
10156,P,50,,,N,"BQUE SYZ CO SA,GVA   "
10160,P,963,,,N,"BKMUSCAT INTL/TREASURY A/C,MAN   "
10168,P,975,,,N,"DEUTSCHE BK AG/A/C DB BKK,SGP    "
10182,P,60,,,N,"COMMERZBK AG/PRINCIPAL AC,FFT    "
10184,P,30,,,N,"KBC FIN PROD UK/KBCI HK,LN   "
10186,P,40,,,N,"NEDERLANDSCHE BK,ADAM    "
10190,P,10,,,N,"REFCO SECS LLC/INSTIT CLEAR,NY   "
10194,P,140,,,N,"BANKIA/BANCAJA,MADRID    "
10195,P,0,,,N,"ARGENTA NV,ANTWERP   "
10196,P,975,,,N,"DEUTSCHE BK AG/DB TAIPEI,SGP "
10198,P,959,,,N,"CS AG,NASSAU "
10204,P,180,,,N,"TAKASBANK AS/KOCBANK KBE,IST "
10213,P,10,,,N,"BA NA/MPLP/GSS LDN CL ASS,LDN    "
10217,P,180,,,N,"TAKASBANK/OYAK EMEKL OEE,IST "
10234,P,959,,,N,"CS BRAZIL (B),NASSAU "
10235,P,10,,,N,"STATE STR BK TRUST/SSLL,BOSTON   "
10237,P,190,,,N,"CITI FD SVCS/EATON VANCE,DUB "
10238,P,975,,,N,"UOB KAYHIAN PTE LTD/UOB HK,SGP   "
10255,P,760,,,N,"KUWAIT FIN HSE,SAFAT "
10265,P,150,,,N,"SKANDINAVISKA ENS BK SA,LUX  "
10266,P,975,,,N,"DEUTSCHE BK AG/A/C DCS CL,SGP    "
10269,P,30,,,N,"JPMC ITS/SPLG/LDN SEL FD,LDN "
10270,P,150,,,N,"SVENSKA HANDELSBKEN,LUX  "
10280,P,850,,,N,"HSBC/A/C IB,HK   "
10284,P,30,,,N,"JPMC ITS/SPLG/COLLINS S,LDN  "
10293,P,30,,,N,"JPMC ITS/SPLG/JPM CAYMAN,LDN "
10307,P,30,,,N,"BARCLAYS BK/BCSL-CAYMAN CL,LDN   "
10318,P,30,,,N,"JPMC ITS/CSFB EQUITIES,LDN   "
10323,P,660,,,N,"BCO DO BRASIL/BCO BRAS GR,GDC    "
10333,P,130,,,N,"GENERALI BANK AG/CLI,VIENNA  "
10335,P,30,,,N,"JPMC ITS/JPM CHASE FUNDING,LDN   "
10336,P,120,,,N,"IGCP/B,LISBON    "
10339,P,30,,,N,"JPMC ITS/TRINITY FUNDING,LDN "
10376,P,150,,,N,"SUMITOMO TST LUX/DTKJPC,LUX  "
10378,P,20,,,N,"BQUE DE FRANCE/OPS DOMEUR,PAR    "
10384,P,30,,,N,"JPMC ITS/TRINITY PL FND,LDN  "
10391,P,30,,,N,"KBC FIN PROD UK/CDO,LN   "
10402,P,10,,,N,"DEUTSCHE BK/DOMESTIC CUS LA,NY   "
10403,P,10,,,N,"PENSON FIN SVCS/WORLD SETL,DAL   "
10411,P,981,,,N,"EXP IMP BK KOREA/KEXIM A,SEOUL   "
10421,P,10,,,N,"SAFRA NTL BK NY/AFFILIATES,NY    "
10431,P,30,,,N,"MSIP/NYLON EOC ACCOUNT,LDN   "
10432,P,110,,,N,"CIBC WORLD MKTS/ARBITR,TOR   "
10463,P,850,,,N,"ROYAL BK OF CANADA,HONG KONG "
10484,P,40,,,N,"T. GILISSEN BANKIERS NV,ADAM "
10498,P,20,,,N,"BP2S/LDN-TAXUSST-TAXITLST,PAR    "
10500,P,190,,,N,"CITIBANK EUR,DUBLIN  "
10504,P,975,,,N,"LBBW/CLIENTS,SGP "
10511,P,830,,,N,"SMBC/TRUST ACCOUNT,TOKYO "
10527,P,820,,,N,"CCB/SEOUL,BEIJING    "
10528,P,20,,,N,"NATIXIS/BROKERAGE,PAR    "
10532,P,70,,,N,"BCA PROFILO/CLIENTS,MILAN    "
10540,P,10,,,N,"BA NA/MPLP/BTS NON IR CLT,LDN    "
10547,P,140,,,N,"BANKIA/BANCAJA-TERCEROS,MADRID   "
10550,P,150,,,N,"VP BANK(LUX)/CUST HOLD,LUX   "
10552,P,150,,,N,"BQUE DEGROOF LUX/OPC CLIENT,LU   "
10553,P,150,,,N,"BQUE DEGROOF LUX/OPC SICAV,LUX   "
10554,P,30,,,N,"JPMC ITS/SPLG/NKB INVEST,LDN "
10558,P,30,,,N,"NORTHERN TST CO/FUNDSETTLE,LDN   "
10567,P,30,,,N,"JPMC ITS/SPLG/PETRUS SECS,LDN    "
10568,P,30,,,N,"JPMC ITS/SPLG/PARKCENT GLOB,LN   "
10580,P,10,,,N,"INTERACTIVE BR/IBCLR,GRW/SE/ "
10581,P,10,,,N,"INTERACTIVE BR/IBINS,GRW/SE/ "
10595,P,150,,,N,"BPER/CL,LUX  "
10599,P,30,,,N,"NORTHERN TST/NTC,LDN "
10600,P,190,,,N,"PSIL/CLIENT ASSET,DUB    "
10601,P,190,,,N,"PSIL/CLIENT ASSET NUS DOC,DUB    "
10602,P,190,,,N,"PSIL/CLIENT ASSET TREATY,DUB "
10603,P,190,,,N,"PSIL/CLIENT ASSET NTREATY,DUB    "
10604,P,190,,,N,"PSIL/CLIENT ASSET US DOC,DUB "
10605,P,190,,,N,"PSIL/CLIENT ASSET US UN D,DUB    "
10606,P,190,,,N,"PSIL/CLIENT ASSET US EX,DUB  "
10607,P,190,,,N,"PSIL/CLIENT ASSET UNAFF,DUB  "
10613,P,70,,,N,"DEUTSCHE BK SPA/CON ULT1,MIL "
10626,P,30,,,N,"MSIP/IPB 04F03400,LDN    "
10648,P,60,,,N,"DEUTSCHE BK/DOMESTIC CUST,FKFT   "
10650,P,30,,,N,"RBS NV/CL AAAFSL,LDN "
10653,P,975,,,N,"RABOBANK NEDERLAND,SINGAPORE "
10661,P,20,,,N,"NATIXIS/NATIXIS FUNDING,PAR  "
10665,P,30,,,N,"JPMC ITS/FST CLEARING LLC,LDN    "
10666,P,20,,,N,"NATIXIS/EX ICIB/FRANKFURT,PAR    "
10680,P,30,,,N,"JPMC ITS/CMSG CITIGROUP,LDN  "
10686,P,40,,,N,"KBC CLEARING NV,ADAM "
10688,P,30,,,N,"JPMC ITS/SPLG/NIKITAS BROK,LDN   "
10689,P,30,,,N,"JPMC ITS/TROIKA DIAL BERM,LDN    "
10690,P,30,,,N,"JPMC ITS/SPLG/TROIKA D UK,LDN    "
10697,P,20,,,N,"BP2S/LDN-ABU DHABI INV AUT,PAR   "
10702,P,850,,,N,"RBS NV,HK    "
10706,P,150,,,N,"BPER/US DIV 30,LUX   "
10708,P,30,,,N,"JPMC ITS/SPLG/FST CL N SEG,LDN   "
10727,P,30,,,N,"JPMC ITS/SPLG/KNIGHT C EUR,LDN   "
10729,P,20,,,N,"JPMORGAN CHASE BANK, NA,PARIS    "
10734,P,959,,,N,"HANG SENG BK(BAH)/PLEDGED,NAS    "
10739,P,850,,,N,"RBS NV/A/C C,HK  "
10740,P,850,,,N,"RBS NV/A/C D,HK  "
10741,P,850,,,N,"RBS NV NV/A/C E,HK   "
10742,P,0,,,N,"BQUE DEGROOF/FS-OWN CLIENTS,BX   "
10751,P,120,,,N,"BANIF-BI,LIS "
10764,P,150,,,N,"HSBC SECS SVC/HEND GARTFD,LUX    "
10768,P,975,,,N,"RBS NV/BANGKOK,SGP   "
10769,P,20,,,N,"BP2S/LDN-SAUDI ARAB MONETA,PAR   "
10777,P,150,,,N,"SMBC NIKKO BK (LUX) SA/AUD,LUX   "
10778,P,150,,,N,"SMBC NIKKO BK (LUX) SA/CAD,LUX   "
10779,P,150,,,N,"SMBC NIKKO BK (LUX) SA/EUR,LUX   "
10781,P,150,,,N,"SMBC NIKKO BK (LUX) SA/NZD,LUX   "
10787,P,902,,,N,"BK VON ERNST (LIECH), VADUZ  "
10790,P,140,,,N,"ING DIRECT,MAD   "
10813,P,30,,,N,"JPMC ITS/NOMURA DERIV PROD,LDN   "
10818,P,150,,,N,"NORTHERN TST GLOB SVCS,LUX   "
10820,P,30,,,N,"BARCLAYS BK/BCSL-UK CL,LDN   "
10822,P,30,,,N,"BARCLAYS BK/BCSL-CAN CL,LDN  "
10837,P,30,,,N,"SAINSBURYS BK,LDN    "
10843,P,120,,,N,"BANIF-BI/CL CORRETAGEM,LIS   "
10848,P,850,73878,,N,"CHIYU BKG CORP LTD,HK    "
10849,P,30,,,N,"MLI/GEF TIGER MGT,LN "
10878,P,981,,,N,"SAMSUNG SECS CO/CAP MKT,SEOUL    "
10880,P,70,,,N,"BPVICENZA,VICENZA    "
10881,P,70,,,N,"BPVICENZA/CLIENTS,VICENZA    "
10882,P,30,,,N,"JPMC ITS/BARCLAYS CAPITAL,LDN    "
10884,P,30,,,N,"JPMC ITS/CATER ALLEN,LDN "
10885,P,30,,,N,"JPMC ITS/DRESDNER KLEIN,LDN  "
10886,P,30,,,N,"JPMC ITS/RBC FIXED,LDN   "
10887,P,30,,,N,"JPMC ITS/HBOS FIXED,LDN  "
10888,P,30,,,N,"JPMC ITS/RBS FIXED,LDN   "
10890,P,30,,,N,"JPMC ITS/LEHMAN BROS,LDN "
10891,P,30,,,N,"JPMC ITS/MAN GROUP,LDN   "
10892,P,30,,,N,"JPMC ITS/CATER ALLEN GILTS,LDN   "
10898,P,180,,,N,"TC ZIRAAT BK,ANKARA  "
10908,P,30,,,N,"SG HAMBROS BK LTD,LDN    "
10916,P,840,,,N,"CHINATST COML BK/BORROW,TAIPEI   "
10927,P,180,,,N,"TAKASBANK/CBANK,IST  "
10937,P,40,,,N,"ABN AMRO GC(FGCS)/EUROCCP,AMS    "
10942,P,30,,,N,"JPMC ITS/MORLEY FUND MNGT,LDN    "
10944,P,10,,,N,"BA NA/MPLP/GSS CHIC CL ASS,LDN   "
10950,P,70,,,N,"BPER/ARCAVITA INTL,MODENA    "
10962,P,800,,,N,"MALAYAN BKG BERHAD/BAHRAIN,KL    "
10969,P,180,,,N,"FINANSBANK AS,ISTANBUL   "
10980,P,981,,,N,"CITIBANK KOREA/TRUSTEE,SEOUL "
10981,P,820,,,N,"CITIBANK CHINA CO LTD,SHANGHAI   "
11004,P,20,,,N,"NATIXIS/FS TITRES,PAR    "
11006,P,840,,,N,"GCSC/GC SECS (HK) LTD,TAIPEI "
11013,P,30,,,N,"BK OF SCOTLAND PLC/1,LDN "
11023,P,70,,,N,"SGSS/FONDAPI,TURIN   "
11039,P,180,,,N,"VAKIFBK/V EMEK VET-VEU-VEG,ANK   "
11052,P,20,,,N,"ODDO CIE/FUNDSETTLE,PARIS    "
11057,P,740,,,N,"ISRAEL DISC BK/NONEX US,TELAV    "
11061,P,981,,,N,"KOOKMIN BK/CUSTODY 11,SEOUL  "
11064,P,461,,,N,"SG HAMBROS BK (CI)/ARMA,STH  "
11070,P,20,,,N,"BP2S/LDN-AGENCY LENDING,PAR  "
11071,P,30,,,N,"SG HAMBROS BK LTD/CLIENTS,LDN    "
11072,P,810,,,N,"PT BK NEGARA INDONESIA (P),JAK   "
11075,P,20,,,N,"BP2S/NATIXIS,PAR "
11078,P,70,,,N,"ALLIANZ BFA,MIL  "
11082,P,901,,,N,"ANDBANC,ESCALDES "
11083,P,901,,,N,"ANDBANC/ANDBANC C,ESCALDES   "
11084,P,901,,,N,"ANDBANC/ANDBANC F,ESCALDES   "
11086,P,461,,,N,"SG HAMBROS BK (CI)/DAH,STH   "
11090,P,70,,,N,"BCO DI SARDEGNA,SASSARI  "
11091,P,70,,,N,"BCO DI SARDEGNA/CLIENT,SASSARI   "
11096,P,70,,,N,"BCO DI SARDEGNA/ARCA V,SASSARI   "
